Eye,Face,Lips,Nails,Tongue,Vitamin Deficiency,Recommendation
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,muehrck-e's lines,Swollen Red,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,muehrck-e's lines,White Tongue,"Vitamin C Deficiency, Vitamin B12 Deficiency, Vitamin C Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,onycholysis,,"Vitamin B5 Deficiency, Vitamin B3 Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,onycholysis,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,onycholysis,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,onycholysis,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,onycholysis,White Tongue,"Vitamin B5 Deficiency, Vitamin B7 Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,terry's nail,,"Vitamin D Deficiency, Vitamin B6 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,terry's nail,Magenta Coloured Tongue,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,terry's nail,Not Visible / Normal,"Vitamin C Deficiency, Vitamin K Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,terry's nail,Swollen Red,"Vitamin D Deficiency, Vitamin D Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,terry's nail,White Tongue,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,white spot,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,white spot,Magenta Coloured Tongue,"Vitamin B5 Deficiency, Vitamin D Deficiency, Vitamin E Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,white spot,Not Visible / Normal,"Vitamin D Deficiency, Vitamin D Deficiency, Vitamin B9 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,white spot,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,white spot,White Tongue,"Vitamin C Deficiency, Vitamin B9 Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Pale Skin,,,,Vitamin E Deficiency,"Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Bulging Eyes,Pale Skin,,,Magenta Coloured Tongue,"Vitamin B3 Deficiency, Vitamin E Deficiency, Vitamin E Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Bulging Eyes,Pale Skin,,,Not Visible / Normal,Vitamin A Deficiency,"Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Bulging Eyes,Pale Skin,,,Swollen Red,"Vitamin B7 Deficiency, Vitamin D Deficiency, Vitamin B7 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Bulging Eyes,Pale Skin,,,White Tongue,"Vitamin B1 Deficiency, Vitamin B3 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Bulging Eyes,Pale Skin,,beau's line,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Pale Skin,,beau's line,Magenta Coloured Tongue,"Vitamin B12 Deficiency, Vitamin B1 Deficiency, Vitamin E Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Bulging Eyes,Pale Skin,,beau's line,Not Visible / Normal,"Vitamin K Deficiency, Vitamin B12 Deficiency, Vitamin B3 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Bulging Eyes,Pale Skin,,beau's line,Swollen Red,"Vitamin C Deficiency, Vitamin B3 Deficiency, Vitamin A Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Bulging Eyes,Pale Skin,,beau's line,White Tongue,Vitamin E Deficiency,"Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Bulging Eyes,Pale Skin,,black line,,"Vitamin D Deficiency, Vitamin B6 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Bulging Eyes,Pale Skin,,black line,Magenta Coloured Tongue,Vitamin B6 Deficiency,"Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Bulging Eyes,Pale Skin,,black line,Not Visible / Normal,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Pale Skin,,black line,Swollen Red,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Pale Skin,,black line,White Tongue,Vitamin E Deficiency,"Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Bulging Eyes,Pale Skin,,clubbing,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Pale Skin,,clubbing,Magenta Coloured Tongue,"Vitamin A Deficiency, Vitamin C Deficiency, Vitamin B9 Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Pale Skin,,clubbing,Not Visible / Normal,"Vitamin C Deficiency, Vitamin C Deficiency, Vitamin C Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Bulging Eyes,Pale Skin,,clubbing,Swollen Red,Vitamin B6 Deficiency,"Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Bulging Eyes,Pale Skin,,clubbing,White Tongue,Vitamin B6 Deficiency,"Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Bulging Eyes,Pale Skin,,muehrck-e's lines,,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Pale Skin,,muehrck-e's lines,Magenta Coloured Tongue,"Vitamin B7 Deficiency, Vitamin B7 Deficiency, Vitamin B7 Deficiency","Consume eggs, nuts, seeds, and sweet potatoes to improve Vitamin B7 levels."
Bulging Eyes,Pale Skin,,muehrck-e's lines,Not Visible / Normal,"Vitamin B3 Deficiency, Vitamin B3 Deficiency, Vitamin C Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Bulging Eyes,Pale Skin,,muehrck-e's lines,Swollen Red,"Vitamin C Deficiency, Vitamin B1 Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Bulging Eyes,Pale Skin,,muehrck-e's lines,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Pale Skin,,onycholysis,,"Vitamin D Deficiency, Vitamin B2 Deficiency, Vitamin B1 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Bulging Eyes,Pale Skin,,onycholysis,Magenta Coloured Tongue,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Bulging Eyes,Pale Skin,,onycholysis,Not Visible / Normal,"Vitamin A Deficiency, Vitamin D Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Bulging Eyes,Pale Skin,,onycholysis,Swollen Red,"Vitamin B7 Deficiency, Vitamin B6 Deficiency, Vitamin C Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Bulging Eyes,Pale Skin,,onycholysis,White Tongue,"Vitamin K Deficiency, Vitamin B9 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Pale Skin,,terry's nail,,"Vitamin K Deficiency, Vitamin B6 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Bulging Eyes,Pale Skin,,terry's nail,Magenta Coloured Tongue,"Vitamin B9 Deficiency, Vitamin B2 Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Bulging Eyes,Pale Skin,,terry's nail,Not Visible / Normal,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Bulging Eyes,Pale Skin,,terry's nail,Swollen Red,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Bulging Eyes,Pale Skin,,terry's nail,White Tongue,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Bulging Eyes,Pale Skin,,white spot,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Pale Skin,,white spot,Magenta Coloured Tongue,"Vitamin E Deficiency, Vitamin C Deficiency, Vitamin A Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Bulging Eyes,Pale Skin,,white spot,Not Visible / Normal,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Pale Skin,,white spot,Swollen Red,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Pale Skin,,white spot,White Tongue,"Vitamin B2 Deficiency, Vitamin B1 Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Bulging Eyes,Pale Skin,Angular cheilitis,,,"Vitamin E Deficiency, Vitamin B5 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Bulging Eyes,Pale Skin,Angular cheilitis,,Magenta Coloured Tongue,"Vitamin B7 Deficiency, Vitamin D Deficiency, Vitamin B9 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Pale Skin,Angular cheilitis,,Not Visible / Normal,Vitamin B7 Deficiency,"Consume eggs, nuts, seeds, and sweet potatoes to improve Vitamin B7 levels."
Bulging Eyes,Pale Skin,Angular cheilitis,,Swollen Red,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Bulging Eyes,Pale Skin,Angular cheilitis,,White Tongue,"Vitamin K Deficiency, Vitamin E Deficiency, Vitamin B9 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Pale Skin,Angular cheilitis,beau's line,,Vitamin E Deficiency,"Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Bulging Eyes,Pale Skin,Angular cheilitis,beau's line,Magenta Coloured Tongue,"Vitamin B7 Deficiency, Vitamin B1 Deficiency, Vitamin B12 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Pale Skin,Angular cheilitis,beau's line,Not Visible / Normal,"Vitamin E Deficiency, Vitamin B3 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Bulging Eyes,Pale Skin,Angular cheilitis,beau's line,Swollen Red,Vitamin E Deficiency,"Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Bulging Eyes,Pale Skin,Angular cheilitis,beau's line,White Tongue,"Vitamin B2 Deficiency, Vitamin D Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
